,Species,A6
88,Limbodessus_palmulaoides_985783,1
89,Boreonectes_macedonicus_1309559,1
90,Deronectes_angusi_156922,1
91,Deronectes_bicostatus_156924,1
92,Deronectes_costipennis_158748,1
93,Deronectes_doriae_1109132,1
94,Deronectes_hispanicus_156930,1
95,Deronectes_moestus_156933,1
96,Deronectes_parvicollis_1309448,1
97,Deuteronectes_picturatus_2811600,1
98,Graptodytes_eremitus_992549,1
99,Graptodytes_pictus_224486,1
100,Graptodytes_pietrii_992552,1
101,Graptodytes_varius_992556,1
102,Hydrocolus_stagnalis_1090898,1
103,Hydroporus_analis_210106,1
104,Hydroporus_apenninus_1309449,1
105,Hydroporus_axillaris_254269,1
106,Hydroporus_brevis_1109137,1
107,Hydroporus_despectus_254270,1
108,Hydroporus_discretus_210109,2
109,Hydroporus_erythrocephalus_110022,1
110,Hydroporus_feryi_1109141,1
111,Hydroporus_gyllenhalii_210111,1
112,Hydroporus_kasyi_2008399,1
113,Hydroporus_melanarius_210117,1
114,Hydroporus_obscurus_210121,1
115,Hydroporus_obsoletus_210122,1
116,Hydroporus_planus_107871,2
117,Hydroporus_puberulus_254285,1
118,Hydroporus_sanfilippoi_1090911,1
119,Hydroporus_signatus_1895289,1
120,Hydroporus_submuticus_254289,1
121,Iberoporus_pluto_2811596,1
122,Leconectes_striatellus_2811602,1
123,Lioporeus_pilatei_2714623,1
124,Megaporus_rufipes_309250,1
125,Mystonectes_coelamboides_2811597,1
126,Nebrioporus_airumlus_224487,1
127,Nebrioporus_amicorum_1309723,1
128,Nebrioporus_canaliculatus_1309509,1
129,Nebrioporus_cooperi_2201844,1
130,Nebrioporus_depressus_878425,1
131,Nebrioporus_elegans_1309512,1
132,Nebrioporus_millingeni_2201847,1
133,Nebrioporus_vagrans_2201851,1
134,Necterosoma_penicillatum_309063,1
135,Nectoboreus_dolerosus_2811604,1
136,Nectoporus_subrotundus_2811606,1
137,Oreodytes_davisii_156968,1
138,Oreodytes_sanmarkii_1309530,1
139,Oreodytes_scitulus_1309531,1
140,Paroster_macrosturtensis_610277,1
141,Paroster_mesosturtensis_610278,1
142,Paroster_microsturtensis_610279,1
143,Porhydrus_obliquesignatus_1309536,1
144,Rhithrodytes_bimaculatus_224513,1
145,Rhithrodytes_crux_1309540,1
146,Sanfilippodytes_adelardi_2714631,1
147,Sanfilippodytes_vilis_2714641,1
148,Scarodytes_malickyi_1309541,1
149,Scarodytes_savinensis_483878,1
150,Stictonectes_escheri_1309545,1
151,Stictonectes_samai_224507,1
152,Zaitzevhydrus_formaster_2811608,1
153,Hygrotus_confluens_107884,1
154,Hygrotus_nigrolineatus_878038,1
155,Hygrotus_inaequalis_107886,1
156,Hygrotus_impressopunctatus_107885,1
157,Hyphydrus_ovatus_159814,1
158,Hygrobia_hermanni_107881,1
159,Meru_phyllisae_535381,1
160,Noterus_clavicornis_110027,2
161,Dineutus_mellyi_357803,1
162,Gyrinus_substriatus_446440,1
163,Macrogyrus_oblongus_528226,1
164,Orectochilus_villosus_107782,1
165,Haliplus_flavicollis_446441,1
166,Haliplus_immaculatus_446443,1
167,Haliplus_lineatocollis_107853,1
168,Haliplus_sibiricus_1553471,1
169,Peltodytes_quadratus_1050041,1
170,Priacma_serrata_50550,1
171,Tenomerga_trabecula_2843307,1
172,Tetraphalerus_bruchi_546504,1
173,Hydroscapha_granulum_426698,1
174,Incoltorrida_madagassica_442089,1
175,Gastrallus_laevigatus_1586484,1
176,Stegobium_paniceum_295656,1
177,Ernobius_pini_1587284,1
178,Lasioderma_redtenbacheri_1587376,1
179,Lasioderma_serricorne_295660,4
180,Apatides_fortis_590156,1
181,Dinoderus_minutus_1587246,1
182,Rhyzopertha_dominica_92692,1
183,Attagenus_augustatus_1546016,1
184,Attagenus_hottentotus_1205591,1
185,Attagenus_unicolor_1475208,3
186,Dermestes_ater_1546019,2
187,Dermestes_coarctatus_2571046,1
188,Dermestes_dimidiatus_2860265,1
189,Dermestes_frischii_452470,1
190,Dermestes_lardarius_219542,1
191,Dermestes_maculatus_473951,2
192,Dermestes_peruvianus_295668,1
193,Dermestes_tessellatocollis_1289376,1
194,Anthrenus_museorum_1553085,1
195,Anthrenus_verbasci_295669,3
196,Trogoderma_granarium_591392,2
197,Trinodes_hirtus_442100,1
198,Nosodendron_fasciculare_295673,1
199,Gibbium_aequinoctiale_1050274,1
200,Niptus_hololeucus_1588567,1
201,Ptinus_rufipes_904172,1
202,Arhopalus_rusticus_256647,1
203,Arhopalus_unicolor_1191617,1
204,Cephalallus_oberthueri_2819882,1
205,Nortia_carinicollis_583456,1
206,Aromia_bungii_320466,4
207,Closteromerus_claviger_904192,1
208,Pyrrhidium_sanguineum_1323404,2
209,Semanotus_bifasciatus_2020315,1
210,Aeolesthes_oenochrous_1162206,1
211,Jebusaea_hammerschmidtii_2233810,1
212,Massicus_raddei_157316,1
213,Nadezhdiella_cantori_1261038,1
214,Neoplocaederus_obesus_2735254,1
215,Trachylophus_sinensis_1261036,1
216,Xoanodera_maculata_583507,1
217,Chlorophorus_annularis_2586298,1
218,Chlorophorus_diadema_157309,1
219,Chlorophorus_simillimus_1191612,1
220,Clytobius_davidis_2769923,1
221,Demonax_pseudonotabilis_2992285,1
222,Turanoclytus_namaganensis_2874582,1
223,Xylotrechus_grayii_1313178,1
224,Xylotrechus_magnicollis_1929517,1
225,Xylotrechus_quadripes_554073,1
226,Trichoferus_campestris_351093,2
227,Zoodes_fulguratus_2832072,1
228,Allotraeus_orientalis_2690021,1
229,Purpuricenus_lituratus_2690043,1
230,Epipedocera_atra_2763313,1
231,Anoplistes_halodendri_993115,1
232,Xystrocera_globosa_1191653,1
233,Clytomelegena_kabakovi_2769934,1
234,Distenia_gracilis_1498004,1
235,Distenia_punctulatoides_2980435,1
236,Disteniazteca_fimbriata_1216934,1
237,Dynamostes_audax_2769936,1
238,Dorcasomus_pinheyi_2769906,1
239,Tsivoka_simplicicollis_2769918,1
240,Acanthocinus_griseus_1501857,1
241,Agapanthia_amurensis_558729,1
242,Agapanthia_daurica_763897,1
243,Aulaconotus_atronotatus_2844951,1
244,Psacothea_hilaris_157325,1
245,Apomecyna_saltator_2586296,1
246,Apriona_germarii_157307,1
247,Apriona_swainsoni_320467,1
248,Batocera_lineolata_583388,4
249,Batocera_rubus_584591,1
250,Olenecamptus_bilobus_1850319,1
251,Olenecamptus_subobliteratus_2021000,1
252,Moechotypa_diphysis_157320,1
253,Annamanum_lunulatum_2717113,1
254,Anoplophora_chinensis_217632,1
255,Anoplophora_glabripennis_217634,1
256,Anoplophora_horsfieldi_217633,1
257,Aristobia_reticulator_2570686,1
258,Blepephaeus_succinctor_583413,1
259,Agelasta_perplexa_2784381,1
260,Monochamus_alternatus_192382,4
261,Monochamus_saltuarius_236074,1
262,Monochamus_sartor_236072,1
263,Monochamus_sparsutus_1191621,1
264,Monochamus_sutor_236073,1
265,Oberea_diversipes_2804771,1
266,Oberea_yaoshana_2604360,1
267,Morimospasma_tuberculatum_2874575,1
268,Pseudoechthistatus_chiangshunani_2976366,1
269,Pseudoechthistatus_hei_2962409,1
270,Niphona_lateraliplagiata_2769912,1
271,Sthenias_yunnanus_3003244,1
272,Epiglenea_comes_558742,1
273,Eutetrapha_metallescens_557794,1
274,Glenea_cantor_983541,1
275,Glenea_licenti_2769908,1
276,Menesia_sulphurata_557801,1
277,Paraglenea_fortunei_351083,1
278,Saperda_tetrastigma_2876614,1
279,Thermistis_croceocincta_2604364,1
280,Thyestilla_gebleri_157331,1
281,Anastrangalia_sequensi_763898,1
282,Cortodera_humeralis_1586472,1
283,Grammoptera_ruficornis_351486,1
284,Leptura_annularis_2079361,1
285,Leptura_arcuata_184452,1
286,Sachalinobia_koltzei_2769917,1
287,Stenurella_nigra_294817,2
288,Stictoleptura_succedanea_2020999,1
289,Brachyta_interrogationis_1553375,1
290,Pachyta_bicuneata_351051,1
291,Rhagium_fortecostatum_2769916,1
292,Rhagium_mordax_295679,1
293,Stenocorus_meridianus_878993,1
294,Teledapalpus_zolotichini_2769938,1
295,Peithona_prionoides_2769927,1
296,Necydalis_ulmi_294797,1
297,Ulochaetes_vacca_2769919,1
298,Oxypeltus_quadrispinosus_638835,2
299,Dunmorium_fenestrus_2607384,1
300,Papunya_picta_2546579,1
301,Paulhutchinsonia_pilosicollis_2607198,1
302,Aegolipton_marginale_2769921,1
303,Aegosoma_pallidum_2769901,1
304,Aegosoma_sinicum_2020310,1
305,Nepiodes_costipennis_2138458,1
306,Toxeutes_arcuatus_2547841,1
307,Toxeutes_macleayi_2546607,1
308,Toxeutes_pascoei_2607192,1
309,Phaolus_metallicus_2547844,1
310,Sceleocantha_cuneata_2607201,2
311,Sceleocantha_gigas_2607202,1
312,Sceleocantha_glabricollis_2547839,1
313,Cacodacnus_planicollis_2546587,2
314,Callipogon_relictus_1105317,1
315,Elaptus_brevicornis_2607197,2
316,Elaptus_dimidiatus_2607530,1
317,Elaptus_prionoides_2546589,1
318,Elaptus_simulator_2546590,2
319,Analophus_parallelus_2546584,3
320,Archetypus_frenchi_2546585,1
321,Archetypus_fulvipennis_2607191,1
322,Brephilydia_jejuna_2546586,2
323,Cnemoplites_argodi_2607193,2
324,Cnemoplites_australis_2547837,8
325,Cnemoplites_cephalotes_2607195,1
326,Cnemoplites_edulis_2546588,2
327,Cnemoplites_princeps_2607196,1
328,Eurynassa_australis_2546591,1
329,Geoffmonteithia_queenslanda_2546578,2
330,Hermerius_fairmairei_2607199,1
331,Hermerius_impar_2607200,2
332,Hermerius_intermedia_2547835,3
333,Hermerius_prionoides_2723288,1
334,Pseudoplites_inexpectatus_2547838,4
335,Teispes_insularis_2547840,1
336,Utra_nitida_2547842,1
337,Megopis_sinica_398077,1
338,Eboraphyllus_middletoni_2546603,1
339,Enneaphyllus_aeneipennis_2546605,2
340,Howea_angulata_2547848,1
341,Rhipidocerus_australasiae_2547846,1
342,Tragosoma_depsarium_1588605,1
343,Bifidoprionus_rufus_2546597,1
344,Dorysthenes_granulosus_690275,1
345,Dorysthenes_paradoxus_690276,1
346,Priotyrannus_closteroides_584594,1
347,Agrianome_spinicollis_2546583,3
348,Olethrius_laevipennis_2547836,1
349,Aesa_media_2546595,1
350,Saphanus_piceus_2715052,1
351,Spondylis_buprestoides_1395520,2
352,Vesperus_conicicollis_295680,1
353,Vesperus_sanzi_294822,1
354,Aoria_nigripes_2954116,1
355,Acanthoscelides_obtectus_200917,2
356,Bruchidius_cisti_880089,1
357,Bruchidius_siliquastri_1649775,1
358,Bruchidius_uberatus_298076,1
359,Callosobruchus_analis_380381,1
360,Callosobruchus_chinensis_146774,3
361,Callosobruchus_maculatus_64391,5
362,Caryopemon_giganteus_2758555,1
363,Agonita_chinensis_2003340,1
364,Arescus_labiatus_294769,1
365,Aspidomorpha_difformis_2653412,1
366,Basiprionota_bisignata_2873934,1
367,Brontispa_longissima_111217,1
368,Callispa_bowringii_2558238,1
369,Cassida_circumdata_111203,1
370,Cassida_viridis_877894,1
371,Downesia_tarsata_2790390,1
372,Hypocassida_meridionalis_1425619,1
373,Imatidium_capense_294609,1
374,Laccoptera_ruginosa_1205597,1
375,Octodonta_nipae_1432747,1
376,Rhadinosa_nigrocyanea_2093842,1
377,Thlaspida_biramosa_2653419,1
378,Wallacea_dactyliferae_2968781,1
379,Exema_canadensis_294585,1
380,Chrysolina_aeruginosa_640304,1
381,Chrysolina_americana_75506,1
382,Chrysolina_bankii_75507,1
383,Chrysolina_haemoptera_75519,1
384,Chrysolina_herbacea_75521,1
385,Chrysolina_polita_75530,1
386,Chrysolina_rufoaenea_1425546,1
387,Chrysomela_populi_154003,2
388,Chrysomela_vigintipunctata_153828,1
389,Colaspidema_barbarum_1425615,1
390,Gastrolina_depressa_2041217,1
391,Gastrolina_thoracica_2041218,1
392,Gastrophysa_janthina_1425603,1
393,Gastrophysa_polygoni_878018,1
394,Gonioctena_aegrota_1425568,1
395,Gonioctena_intermedia_63691,2
396,Gonioctena_leprieuri_1425569,1
397,Gonioctena_olivacea_63697,1
398,Hydrothassa_fairmairei_1425571,1
399,Hydrothassa_glabra_1425572,1
400,Linaeidea_aenea_153779,1
401,Phaedon_armoraciae_294580,2
402,Phaedon_tumidulus_346819,1
403,Phratora_vulgatissima_878366,2
404,Plagiodera_versicolora_154017,1
405,Leptinotarsa_decemlineata_7539,1
406,Entomoscelis_adonidis_75503,1
407,Suinzona_borowieci_2856062,3
408,Suinzona_cyrtonoides_2856063,1
409,Timarcha_goettingensis_79522,1
410,Chilotomina_oberthuri_1425611,1
411,Clytra_espanoli_1425547,1
412,Clytra_quadripunctata_1425548,1
413,Labidostomis_ghilianii_1425573,1
414,Labidostomis_lucida_1425574,1
415,Labidostomis_lusitanica_294640,1
416,Labidostomis_taxicornis_1425575,1
417,Labidostomis_urticarum_2653416,1
418,Lachnaia_cylindrica_1425576,1
419,Lachnaia_gallaeca_1425604,1
420,Lachnaia_hirta_1425577,1
421,Lachnaia_pubescens_1425578,1
422,Lachnaia_tristigma_294587,1
423,Peploptera_acromialis_908257,1
424,Smaragdina_concolor_294642,1
425,Smaragdina_reyi_294643,1
426,Smaragdina_rufimana_1425602,1
427,Crioceris_asparagi_131627,1
428,Crioceris_duodecimpunctata_184539,1
429,Lema_decempunctata_1412118,1
430,Lilioceris_yunnana_2653417,1
431,Oulema_erichsonii_1412136,2
432,Oulema_melanopus_294584,2
433,Oulema_tristis_2824129,1
434,Adiscus_speciosus_2978449,1
435,Cryptocephalus_androgyne_1091350,1
436,Cryptocephalus_aureolus_1091351,1
437,Cryptocephalus_bipunctatus_204944,1
438,Cryptocephalus_cantabricus_1091358,1
439,Cryptocephalus_celtibericus_1425551,1
440,Cryptocephalus_cynarae_1091364,1
441,Cryptocephalus_dimidiatipennis_2978450,1
442,Cryptocephalus_flavolimbatus_2653413,1
443,Cryptocephalus_lividimanus_1425553,1
444,Cryptocephalus_lusitanicus_1425554,1
445,Cryptocephalus_moraei_204949,1
446,Cryptocephalus_mystacatus_1425555,1
447,Cryptocephalus_obliteratifer_1425556,1
448,Cryptocephalus_octoguttatus_1091372,1
449,Cryptocephalus_pominorum_1091374,1
450,Cryptocephalus_pusillus_877924,1
451,Cryptocephalus_quadripunctatus_1425558,1
452,Cryptocephalus_ramburii_1091377,1
453,Cryptocephalus_rufipes_1425559,1
454,Cryptocephalus_rugicollis_1091379,1
455,Cryptocephalus_schaefferi_1425561,1
456,Cryptocephalus_tibialis_1091387,1
457,Cryptocephalus_vittatus_1425562,2
458,Pachybrachis_regius_1383037,1
459,Pachybrachis_suffrianii_1661973,1
460,Physosmaragdina_nigrifrons_1453301,1
461,Stylosomus_ilicicola_1425628,1
462,Stylosomus_rugithorax_1425630,1
463,Donacia_distincta_131636,1
464,Donacia_flemola_2653415,1
465,Plateumaris_sericea_225723,2
466,Basilepta_fulvipes_1885603,1
467,Basilepta_melanopus_2488261,1
468,Bromius_obscurus_216246,1
469,Chrysochares_punctatus_2741024,1
470,Chrysochus_chinensis_224318,1
471,Colaspidea_globosa_1425613,1
472,Colasposoma_dauricum_1301243,3
473,Syneta_adamsi_217242,1
474,Paleosepharia_posticata_1932166,1
475,Podagricomela_nigricollis_2528270,1
476,Sphaeroderma_rubidum_878991,1
477,Sphaeroderma_testaceum_428710,1
478,Agasicles_hygrophila_715812,2
479,Apteropeda_orbiculata_467478,1
480,Apteropeda_ovulum_1425533,1
481,Argopistes_tsekooni_2016140,1
482,Batophila_aerata_877817,1
483,Longitarsus_aeneus_1425580,1
484,Longitarsus_atricillus_1383031,1
485,Longitarsus_candidulus_1425520,1
486,Longitarsus_cerinthes_1425581,1
487,Longitarsus_curtus_1425521,1
488,Longitarsus_dorsalis_346795,1
489,Longitarsus_exsoletus_294675,1
490,Longitarsus_ibericus_1383033,1
491,Longitarsus_luridus_878066,1
492,Longitarsus_lycopi_1425523,1
493,Longitarsus_melanocephalus_1425582,1
494,Longitarsus_membranaceus_346796,1
495,Longitarsus_niger_1661971,1
496,Longitarsus_nigrocillus_1383034,1
497,Longitarsus_nigrofasciatus_1425583,1
498,Longitarsus_ordinatus_1383035,1
499,Longitarsus_parvulus_346797,1
500,Longitarsus_pratensis_1425584,1
501,Longitarsus_rutilus_878069,1
502,Longitarsus_tabidus_878071,1
503,Luperomorpha_xanthodera_715851,1
504,Macrohaltica_subplicata_294679,1
505,Mantura_chrysanthemi_1425622,1
506,Neocrepidodera_brevicollis_1425586,1
507,Neocrepidodera_ferruginea_877843,1
508,Neocrepidodera_transversa_877844,1
509,Orestia_punctipennis_1425626,1
510,Phyllotreta_cruciferae_224133,1
511,Phyllotreta_foudrasi_1425594,1
512,Phyllotreta_hemipoda_1425528,1
513,Phyllotreta_parallela_1425529,1
514,Phyllotreta_striolata_444603,2
515,Phyllotreta_tetrastigma_1315190,1
516,Phyllotreta_undulata_346830,1
517,Phyllotreta_variipennis_1425530,1
518,Psylliodes_affinis_346834,1
519,Psylliodes_chlorophana_2777738,1
520,Psylliodes_chrysocephala_2598218,1
521,Psylliodes_circumdatus_1425596,1
522,Psylliodes_cupreatus_1425597,1
523,Psylliodes_cupreus_467376,1
524,Psylliodes_fusiformis_467378,1
525,Psylliodes_gougeleti_467380,1
526,Psylliodes_heydeni_1425605,1
527,Psylliodes_hispanus_467381,1
528,Psylliodes_laevicollis_1425599,1
529,Psylliodes_punctifrons_2778951,1
530,Psylliodes_thlaspis_1425531,1
531,Altica_brevicollis_1390103,1
532,Altica_cirsicola_404223,3
533,Altica_ericeti_1390106,1
534,Altica_fragariae_404224,2
535,Altica_palustris_877768,1
536,Altica_viridicyanea_404228,2
537,Aphthona_albertinae_1425518,1
538,Aphthona_lutescens_346707,1
539,Aphthona_melancholica_1425519,1
540,Chaetocnema_arida_1425538,1
541,Chaetocnema_confinis_1896592,1
542,Chaetocnema_depressa_1425539,1
543,Chaetocnema_hortensis_346761,1
544,Chaetocnema_obesa_1425540,1
545,Chaetocnema_paganettii_1425541,1
546,Chaetocnema_pelagica_1425542,2
547,Chaetocnema_scheffleri_1425543,1
548,Chaetocnema_tibialis_1425544,1
549,Crepidodera_pluta_715800,1
550,Dibolia_occultans_1425563,1
551,Dibolia_rugulosa_1587238,1
552,Podagrica_fuscicornis_1425595,1
553,Diorhabda_carinata_1163344,1
554,Diorhabda_carinulata_1163345,1
555,Galerucella_birmanica_409921,1
556,Galerucella_nipponensis_416328,1
557,Galeruca_daurica_1651263,1
558,Galeruca_interrupta_1425565,1
559,Galeruca_luctuosa_1425566,1
560,Galeruca_macchoi_1425567,1
561,Ophraella_communa_38162,21
562,Fleutiauxia_armata_1205662,1
563,Aulacophora_indica_217245,3
564,Aulacophora_lewisii_226735,1
565,Diabrotica_barberi_50386,1
566,Diabrotica_virgifera_50389,1
567,Leptomona_erythrocephala_1391556,1
568,Exosoma_lusitanicum_294709,1
569,Calomicrus_circumfusus_294706,1
570,Calomicrus_fallax_1425534,1
571,Calomicrus_pinicola_1553172,1
572,Calomicrus_suturalis_1425536,1
573,Monolepta_hieroglyphica_327932,4
574,Monolepta_occifluvis_2563737,1
575,Monolepta_quadriguttata_1254971,1
576,Monolepta_signata_2164167,1
577,Hoplasoma_unicolor_281577,1
578,Phyllobrotica_quadrimaculata_428708,1
579,Chapuisia_ellenbergeri_1205656,1
580,Gallerucida_bifasciata_301066,1
581,Sermylassa_halensis_227849,1
582,Oomorphoides_metallicus_2576292,1
583,Sagra_femorata_295313,1
584,Spilopyra_sumptuosa_284356,2
585,Orsodacne_cerasi_558334,1
586,Orsodacne_lineola_295683,1
587,Mantitheus_pekinensis_2769910,1
588,Philus_antennatus_1398566,2
589,Philus_pallescens_583469,1
590,Spiniphilus_spinicornis_1799505,1
591,Byturus_ochraceus_153018,1
592,Chaetosoma_scaritides_546502,1
593,Trichodes_leucopsideus_1445688,1
594,Trichodes_sinae_1850556,1
595,Clanoptilus_assimilis_1205594,1
596,Phloiophilus_edwardsi_295730,1
597,Phycosecis_limbata_1205668,1
598,Idgia_oculata_1404354,1
599,Temnoscheila_virescens_1205670,1
600,Tenebroides_mauritanicus_433272,1
601,Dastarcus_helophoroides_1169899,1
602,Teredus_cylindricus_295808,1
603,Cerylon_histeroides_347309,1
604,Chilocorus_bipustulatus_703257,1
605,Coccidula_rufa_115345,1
606,Rodolia_quadrimaculata_2678939,1
607,Aiolocaria_hexaspilota_419962,2
608,Anatis_ocellata_703254,1
609,Anisosticta_novemdecimpunctata_185876,1
610,Calvia_championorum_1856879,1
611,Calvia_decemguttata_1587120,1
612,Cheilomenes_sexmaculata_158622,2
613,Coccinella_septempunctata_41139,1
614,Coccinella_transversoguttata_1790162,2
615,Coelophora_saucia_2678938,1
616,Cycloneda_sanguinea_633097,1
617,Harmonia_axyridis_115357,7
618,Harmonia_quadripunctata_346781,1
619,Hippodamia_convergens_64696,1
620,Hippodamia_undecimnotata_703263,1
621,Hippodamia_variegata_703264,1
622,Illeis_bistigmosa_2840401,1
623,Illeis_cincta_930880,1
624,Illeis_koebelei_420091,1
625,Lemnia_saucia_511878,1
626,Megalocaria_dilatata_511882,1
627,Oenopia_sauzeti_420097,1
628,Propylea_japonica_158624,1
629,Propylea_quattuordecimpunctata_558720,1
630,Halyzia_sedecimguttata_347359,1
631,Vibidia_duodecimguttata_420103,2
632,Afissula_kambaitana_511865,1
633,Epilachna_admirabilis_77537,1
634,Henosepilachna_pusillanima_459481,1
635,Henosepilachna_vigintioctomaculata_420088,1
636,Henosepilachna_vigintioctopunctata_420089,1
637,Subcoccinella_vigintiquattuorpunctata_295815,1
638,Epiverta_chelonia_1518448,1
639,Nephus_includens_703267,1
640,Nephus_oblongosignatus_2772058,1
641,Nephus_reunioni_703268,1
642,Nephus_voeltzkowi_2233631,2
643,Coccidophilus_cariba_2743657,1
644,Endomychus_coccineus_295833,1
645,Enicmus_brevicornis_346775,1
646,Micrambe_villosus_1588241,1
647,Cucujus_clavipes_186067,1
648,Cucujus_costatus_2892458,1
649,Cucujus_haematodes_1587220,1
650,Cucujus_kempi_2528283,1
651,Cucujus_mniszechi_433034,1
652,Palaestes_abruptus_2528286,1
653,Palaestes_freyreissi_2528279,1
654,Palaestes_nicaraguae_2528287,1
655,Palaestes_scutellaris_2528288,1
656,Pediacus_ater_2528282,1
657,Pediacus_taiwanensis_2528278,1
658,Platisus_angusticollis_2528285,1
659,Platisus_bicolor_2528280,1
660,Platisus_moerosus_2528276,1
661,Platisus_obscurus_2528281,1
662,Platisus_vespertinus_2528284,1
663,Platisus_zelandicus_2528277,1
664,Thesaurus_albertalleni_2529511,1
665,Thesaurus_zaitsevi_2529512,2
666,Aulacochilus_grouvellei_2800504,1
667,Episcapha_fortunii_2819887,1
668,Episcapha_opaca_2866207,1
669,Neotriplax_arisana_2866210,1
670,Triplax_ainonia_2911889,1
671,Tritoma_bipustulata_295904,1
672,Tritoma_metasobrina_2866208,1
673,Loberonotha_olivascens_1205664,1
674,Brachypterolus_vestitus_877832,1
675,Kateretes_pedicularius_877986,1
676,Cryptolestes_ferrugineus_58000,1
677,Cryptolestes_pusillus_1173686,1
678,Cryptolestes_turcicus_1173687,1
679,Monotoma_quadricollis_346807,1
680,Rhizophagus_aeneus_1586534,1
681,Rhizophagus_dispar_346847,1
682,Carpophilus_dimidiatus_913117,1
683,Carpophilus_pilosellus_2704548,1
684,Epuraea_guttata_1903846,1
685,Glischrochilus_hortensis_295925,1
686,Aethina_tumida_116153,2
687,Omosita_colon_878176,1
688,Xenostrongylus_variegatus_2748664,1
689,Hymaea_magna_1605657,1
690,Priasilpha_obscura_295936,1
691,Ericmodes_sylvaticus_298275,1
692,Oryzaephilus_surinamensis_41112,2
693,Silvanus_bidentatus_878982,1
694,Aspidiphorus_orbiculatus_577441,1
695,Sphindus_dubius_295944,1
696,Chirotenon_longimanus_1205658,1
697,Platystomos_albinus_197009,2
698,Urodontus_glabratus_1205599,1
699,Lepidapion_squamigerum_280314,1
700,Rhopalapion_longirostre_202169,1
701,Apoderus_coryli_201766,1
702,Apoderus_jekelii_1002002,1
703,Cyllorhynchites_ursulus_1515519,1
704,Deporaus_betulae_298190,1
705,Deporaus_marginatus_1544439,1
706,Deporaus_tristis_1587232,1
707,Brachycerus_muricatus_159793,1
708,Cylas_formicarius_197179,1
709,Nanophyes_marmoratus_202047,1
710,Ceutorhynchus_obstrictus_307131,2
711,Ceutorhynchus_parvulus_1587154,1
712,Cionus_olens_201874,1
713,Brachytemnus_porcatus_1069889,1
